date,department_id,department_name,priority,tickets_created,tickets_closed,sla_breached_tickets,sla_breach_rate,avg_first_response_hours,avg_resolution_hours,avg_satisfaction_score
2025-10-01,dep_01,technical support,critical,2,2,0,0.00,0.32,5.71,4.60
2025-10-01,dep_01,technical support,high,1,1,0,0.00,4.83,19.48,5.00
2025-10-01,dep_01,technical support,low,4,4,0,0.00,27.18,49.55,4.75
2025-10-01,dep_01,technical support,medium,2,1,1,0.50,24.39,2932.24,4.50
2025-10-01,dep_02,billing support,critical,4,4,2,0.50,0.84,10.87,3.95
2025-10-01,dep_02,billing support,high,2,2,0,0.00,1.61,5.15,4.90
2025-10-01,dep_02,billing support,low,1,1,0,0.00,12.22,42.84,4.80
2025-10-01,dep_03,customer success,low,1,1,0,0.00,24.39,91.22,4.50
2025-10-01,dep_03,customer success,medium,2,2,0,0.00,9.43,22.69,4.90
2025-10-01,dep_04,trust and safety,high,1,1,0,0.00,6.76,13.32,4.60
2025-10-01,dep_04,trust and safety,low,2,2,1,0.50,21.98,103.10,3.95
2025-10-01,dep_05,platform operations,high,2,2,1,0.50,4.81,23.33,3.75
2025-10-01,dep_05,platform operations,low,2,2,0,0.00,19.32,59.69,4.75
2025-10-01,dep_05,platform operations,medium,1,0,1,1.00,19.76,5817.75,0.00
2025-10-02,dep_01,technical support,critical,1,1,1,1.00,2.44,21.62,2.90
2025-10-02,dep_01,technical support,high,1,1,1,1.00,16.83,27.99,2.70
2025-10-02,dep_01,technical support,low,2,2,0,0.00,26.43,26.92,4.75
2025-10-02,dep_01,technical support,medium,3,3,0,0.00,17.02,20.52,4.87
2025-10-02,dep_02,billing support,low,4,4,0,0.00,25.24,33.94,4.55
2025-10-02,dep_02,billing support,medium,1,1,0,0.00,16.71,17.21,4.80
2025-10-02,dep_03,customer success,critical,1,1,0,0.00,2.47,5.72,4.70
2025-10-02,dep_03,customer success,high,3,3,2,0.67,3.58,15.76,3.37
2025-10-02,dep_03,customer success,low,2,2,0,0.00,21.78,43.72,4.40
2025-10-02,dep_03,customer success,medium,4,4,0,0.00,14.46,27.38,4.80
2025-10-02,dep_04,trust and safety,low,2,2,0,0.00,43.27,60.95,4.35
2025-10-02,dep_04,trust and safety,medium,1,1,0,0.00,9.54,10.04,4.80
2025-10-02,dep_05,platform operations,high,2,2,2,1.00,10.47,39.20,2.75
2025-10-02,dep_05,platform operations,medium,1,1,1,1.00,17.63,67.62,3.30
2025-10-03,dep_01,technical support,high,1,1,0,0.00,5.55,12.84,4.20
2025-10-03,dep_01,technical support,low,2,2,0,0.00,34.55,56.28,4.95
2025-10-03,dep_01,technical support,medium,2,2,0,0.00,8.02,16.29,4.70
2025-10-03,dep_02,billing support,critical,1,1,0,0.00,2.09,2.59,5.00
2025-10-03,dep_02,billing support,high,2,2,1,0.50,7.15,59.64,3.35
2025-10-03,dep_02,billing support,medium,4,4,0,0.00,8.61,15.54,4.70
2025-10-03,dep_03,customer success,low,1,1,0,0.00,16.46,19.33,5.00
2025-10-03,dep_03,customer success,medium,2,2,0,0.00,14.55,15.31,4.40
2025-10-03,dep_04,trust and safety,high,1,1,1,1.00,5.67,32.25,2.80
2025-10-03,dep_05,platform operations,high,1,1,0,0.00,3.25,12.13,4.50
2025-10-03,dep_05,platform operations,medium,3,3,1,0.33,26.82,49.09,4.03
2025-10-04,dep_01,technical support,critical,1,1,1,1.00,1.95,8.14,3.30
2025-10-04,dep_01,technical support,high,1,1,0,0.00,3.21,19.75,4.60
2025-10-04,dep_01,technical support,medium,3,3,0,0.00,12.70,13.29,4.67
2025-10-04,dep_02,billing support,critical,1,1,0,0.00,0.79,4.90,4.20
2025-10-04,dep_02,billing support,high,2,2,0,0.00,5.73,9.94,4.80
2025-10-04,dep_02,billing support,medium,1,1,1,1.00,5.13,52.56,3.10
2025-10-04,dep_05,platform operations,low,1,1,0,0.00,41.30,41.80,4.60
2025-10-04,dep_05,platform operations,medium,2,2,1,0.50,8.51,42.70,4.30
2025-10-05,dep_01,technical support,low,3,3,0,0.00,48.20,57.51,4.80
2025-10-05,dep_01,technical support,medium,1,1,0,0.00,6.64,20.34,4.80
2025-10-05,dep_02,billing support,medium,3,3,0,0.00,13.92,19.83,4.97
2025-10-05,dep_03,customer success,medium,1,1,0,0.00,20.92,21.42,4.70
2025-10-05,dep_05,platform operations,critical,1,1,1,1.00,2.08,12.77,3.30
2025-10-05,dep_05,platform operations,low,1,1,1,1.00,32.22,89.04,3.20
2025-10-06,dep_01,technical support,critical,3,2,1,0.33,0.91,1903.54,4.75
2025-10-06,dep_01,technical support,high,1,1,1,1.00,5.60,16.75,3.90
2025-10-06,dep_01,technical support,low,2,2,0,0.00,42.93,43.43,4.10
2025-10-06,dep_01,technical support,medium,2,2,0,0.00,12.29,15.70,4.40
2025-10-06,dep_02,billing support,critical,1,1,1,1.00,1.16,20.29,2.90
2025-10-06,dep_02,billing support,high,3,2,1,0.33,2.95,1904.07,4.70
2025-10-06,dep_02,billing support,low,4,4,0,0.00,31.19,36.30,4.67
2025-10-06,dep_02,billing support,medium,2,2,0,0.00,16.36,19.93,4.95
2025-10-06,dep_03,customer success,critical,1,1,0,0.00,0.48,5.41,4.70
2025-10-06,dep_03,customer success,high,1,1,0,0.00,8.98,12.32,4.70
2025-10-06,dep_03,customer success,low,5,5,0,0.00,24.16,39.85,4.84
2025-10-06,dep_03,customer success,medium,3,3,0,0.00,13.67,17.99,4.60
2025-10-06,dep_05,platform operations,high,1,1,1,1.00,7.29,41.54,2.40
2025-10-06,dep_05,platform operations,low,1,1,0,0.00,27.96,82.29,4.90
2025-10-07,dep_01,technical support,critical,2,2,1,0.50,0.99,13.57,3.45
2025-10-07,dep_01,technical support,high,2,1,1,0.50,3.27,2838.46,5.00
2025-10-07,dep_01,technical support,low,2,2,0,0.00,20.54,39.09,4.40
2025-10-07,dep_01,technical support,medium,6,6,1,0.17,14.29,27.89,4.70
2025-10-07,dep_02,billing support,critical,2,2,1,0.50,1.05,7.36,4.25
2025-10-07,dep_02,billing support,low,1,1,0,0.00,25.48,47.12,4.80
2025-10-07,dep_02,billing support,medium,6,6,1,0.17,16.26,29.76,4.43
2025-10-07,dep_03,customer success,high,1,1,0,0.00,2.64,9.32,4.40
2025-10-07,dep_03,customer success,low,1,1,1,1.00,17.68,123.42,3.20
2025-10-07,dep_03,customer success,medium,4,4,1,0.25,15.59,32.54,4.15
2025-10-07,dep_05,platform operations,high,1,1,1,1.00,4.53,56.05,2.70
2025-10-07,dep_05,platform operations,low,1,1,0,0.00,26.34,36.05,4.50
2025-10-07,dep_05,platform operations,medium,1,0,1,1.00,18.29,5677.32,0.00
2025-10-08,dep_01,technical support,critical,1,1,1,1.00,1.70,14.46,3.30
2025-10-08,dep_01,technical support,high,4,4,1,0.25,3.36,12.63,4.33
2025-10-08,dep_01,technical support,low,5,5,0,0.00,24.64,53.74,4.66
2025-10-08,dep_01,technical support,medium,3,3,1,0.33,19.02,32.15,4.37
2025-10-08,dep_02,billing support,high,1,1,0,0.00,1.46,9.66,5.00
2025-10-08,dep_02,billing support,low,3,3,0,0.00,33.16,41.58,4.80
2025-10-08,dep_02,billing support,medium,2,2,1,0.50,23.89,33.30,4.20
2025-10-08,dep_03,customer success,critical,1,1,0,0.00,0.89,6.17,4.50
2025-10-08,dep_03,customer success,low,3,3,0,0.00,26.76,31.11,4.83
2025-10-08,dep_03,customer success,medium,1,1,0,0.00,7.79,20.74,4.90
2025-10-08,dep_04,trust and safety,low,2,1,1,0.50,61.50,2848.02,5.00
2025-10-08,dep_04,trust and safety,medium,1,1,1,1.00,21.29,90.02,2.80
2025-10-08,dep_05,platform operations,high,2,2,1,0.50,6.16,15.51,4.05
2025-10-08,dep_05,platform operations,low,3,3,2,0.67,69.97,109.83,4.00
2025-10-09,dep_01,technical support,critical,1,1,1,1.00,0.42,8.95,3.10
2025-10-09,dep_01,technical support,low,1,1,0,0.00,20.19,20.69,4.70
2025-10-09,dep_01,technical support,medium,7,7,0,0.00,14.15,23.29,4.64
2025-10-09,dep_02,billing support,critical,1,1,0,0.00,0.92,4.59,5.00
