date,week_start,month,day_of_week,is_weekend,category,channel,priority,department_name,ticket_count,sla_breach_rate,avg_first_response_hours,avg_resolution_hours
2025-10-01,2025-09-29,2025-10,3,0,abuse report,email,low,trust and safety,2,0.50,21.98,103.10
2025-10-01,2025-09-29,2025-10,3,0,abuse report,portal,high,trust and safety,1,0.00,6.76,13.32
2025-10-01,2025-09-29,2025-10,3,0,billing question,chat,critical,billing support,2,0.00,0.87,4.00
2025-10-01,2025-09-29,2025-10,3,0,billing question,email,high,billing support,1,0.00,2.15,6.23
2025-10-01,2025-09-29,2025-10,3,0,billing question,email,low,billing support,1,0.00,12.22,42.84
2025-10-01,2025-09-29,2025-10,3,0,billing question,phone,high,billing support,1,0.00,1.07,4.07
2025-10-01,2025-09-29,2025-10,3,0,bug report,email,medium,technical support,1,1.00,32.33,5820.20
2025-10-01,2025-09-29,2025-10,3,0,bug report,phone,high,technical support,1,0.00,4.83,19.48
2025-10-01,2025-09-29,2025-10,3,0,bug report,portal,low,technical support,2,0.00,18.91,61.99
2025-10-01,2025-09-29,2025-10,3,0,bug report,portal,medium,technical support,1,0.00,16.46,44.29
2025-10-01,2025-09-29,2025-10,3,0,data export,email,high,platform operations,1,0.00,6.41,6.91
2025-10-01,2025-09-29,2025-10,3,0,feature request,portal,low,customer success,1,0.00,24.39,91.22
2025-10-01,2025-09-29,2025-10,3,0,integration issue,chat,low,platform operations,1,0.00,12.06,56.19
2025-10-01,2025-09-29,2025-10,3,0,integration issue,email,high,platform operations,1,1.00,3.21,39.74
2025-10-01,2025-09-29,2025-10,3,0,integration issue,email,medium,platform operations,1,1.00,19.76,5817.75
2025-10-01,2025-09-29,2025-10,3,0,integration issue,portal,low,platform operations,1,0.00,26.59,63.19
2025-10-01,2025-09-29,2025-10,3,0,invoice dispute,chat,critical,billing support,1,1.00,0.68,6.02
2025-10-01,2025-09-29,2025-10,3,0,invoice dispute,email,critical,billing support,1,1.00,0.94,29.46
2025-10-01,2025-09-29,2025-10,3,0,login access,email,critical,technical support,1,0.00,0.22,5.66
2025-10-01,2025-09-29,2025-10,3,0,login access,email,low,technical support,2,0.00,35.45,37.10
2025-10-01,2025-09-29,2025-10,3,0,login access,portal,critical,technical support,1,0.00,0.42,5.76
2025-10-01,2025-09-29,2025-10,3,0,onboarding help,chat,medium,customer success,2,0.00,9.43,22.69
2025-10-02,2025-09-29,2025-10,4,0,abuse report,email,low,trust and safety,1,0.00,28.23,42.92
2025-10-02,2025-09-29,2025-10,4,0,abuse report,phone,low,trust and safety,1,0.00,58.32,78.97
2025-10-02,2025-09-29,2025-10,4,0,abuse report,phone,medium,trust and safety,1,0.00,9.54,10.04
2025-10-02,2025-09-29,2025-10,4,0,billing question,chat,low,billing support,3,0.00,24.24,27.88
2025-10-02,2025-09-29,2025-10,4,0,billing question,email,low,billing support,1,0.00,28.24,52.12
2025-10-02,2025-09-29,2025-10,4,0,billing question,social,medium,billing support,1,0.00,16.71,17.21
2025-10-02,2025-09-29,2025-10,4,0,bug report,chat,medium,technical support,1,0.00,16.08,16.86
2025-10-02,2025-09-29,2025-10,4,0,bug report,email,medium,technical support,1,0.00,23.99,25.34
2025-10-02,2025-09-29,2025-10,4,0,bug report,phone,critical,technical support,1,1.00,2.44,21.62
2025-10-02,2025-09-29,2025-10,4,0,bug report,phone,high,technical support,1,1.00,16.83,27.99
2025-10-02,2025-09-29,2025-10,4,0,bug report,phone,low,technical support,1,0.00,31.73,32.23
2025-10-02,2025-09-29,2025-10,4,0,bug report,portal,medium,technical support,1,0.00,11.00,19.35
2025-10-02,2025-09-29,2025-10,4,0,feature request,chat,high,customer success,1,0.00,2.43,7.05
2025-10-02,2025-09-29,2025-10,4,0,feature request,email,high,customer success,1,1.00,5.41,16.27
2025-10-02,2025-09-29,2025-10,4,0,feature request,email,low,customer success,1,0.00,29.00,34.58
2025-10-02,2025-09-29,2025-10,4,0,feature request,portal,low,customer success,1,0.00,14.56,52.85
2025-10-02,2025-09-29,2025-10,4,0,feature request,portal,medium,customer success,1,0.00,7.99,21.42
2025-10-02,2025-09-29,2025-10,4,0,integration issue,chat,high,platform operations,1,1.00,9.28,34.87
2025-10-02,2025-09-29,2025-10,4,0,integration issue,phone,medium,platform operations,1,1.00,17.63,67.62
2025-10-02,2025-09-29,2025-10,4,0,integration issue,social,high,platform operations,1,1.00,11.67,43.53
2025-10-02,2025-09-29,2025-10,4,0,login access,email,low,technical support,1,0.00,21.12,21.62
2025-10-02,2025-09-29,2025-10,4,0,onboarding help,chat,medium,customer success,1,0.00,21.35,27.87
2025-10-02,2025-09-29,2025-10,4,0,onboarding help,email,critical,customer success,1,0.00,2.47,5.72
2025-10-02,2025-09-29,2025-10,4,0,onboarding help,email,high,customer success,1,1.00,2.89,23.95
2025-10-02,2025-09-29,2025-10,4,0,onboarding help,email,medium,customer success,1,0.00,16.41,22.73
2025-10-02,2025-09-29,2025-10,4,0,onboarding help,portal,medium,customer success,1,0.00,12.09,37.51
2025-10-03,2025-09-29,2025-10,5,0,abuse report,phone,high,trust and safety,1,1.00,5.67,32.25
2025-10-03,2025-09-29,2025-10,5,0,billing question,chat,medium,billing support,1,0.00,10.79,11.29
2025-10-03,2025-09-29,2025-10,5,0,billing question,email,medium,billing support,1,0.00,5.26,11.31
