event_id,ticket_id,event_time,event_type,old_status,new_status,agent_id
evt_0000001,tck_000001,2025-10-01 07:27,created,,open,
evt_0000002,tck_000001,2025-10-01 07:58,assigned,open,assigned,agt_017
evt_0000003,tck_000001,2025-10-02 01:18,first_response,assigned,in_progress,agt_017
evt_0000004,tck_000001,2025-10-03 21:57,closed,in_progress,closed,agt_017
evt_0000005,tck_000002,2025-10-01 11:09,created,,open,
evt_0000006,tck_000002,2025-10-01 11:41,assigned,open,assigned,agt_006
evt_0000007,tck_000002,2025-10-01 12:12,first_response,assigned,in_progress,agt_006
evt_0000008,tck_000002,2025-10-01 15:13,closed,in_progress,closed,agt_006
evt_0000009,tck_000003,2025-10-01 14:55,created,,open,
evt_0000010,tck_000003,2025-10-01 15:20,assigned,open,assigned,agt_007
evt_0000011,tck_000003,2025-10-01 15:41,first_response,assigned,in_progress,agt_007
evt_0000012,tck_000003,2025-10-01 19:11,closed,in_progress,closed,agt_007
evt_0000013,tck_000004,2025-10-01 09:46,created,,open,
evt_0000014,tck_000004,2025-10-01 10:09,assigned,open,assigned,agt_004
evt_0000015,tck_000004,2025-10-02 05:43,first_response,assigned,in_progress,agt_004
evt_0000016,tck_000004,2025-10-03 23:14,closed,in_progress,closed,agt_004
evt_0000017,tck_000005,2025-10-01 09:31,created,,open,
evt_0000018,tck_000005,2025-10-01 09:50,assigned,open,assigned,agt_015
evt_0000019,tck_000005,2025-10-01 21:34,first_response,assigned,in_progress,agt_015
evt_0000020,tck_000005,2025-10-03 17:42,closed,in_progress,closed,agt_015
evt_0000021,tck_000006,2025-10-01 08:31,created,,open,
evt_0000022,tck_000006,2025-10-01 09:09,assigned,open,assigned,agt_018
evt_0000023,tck_000006,2025-10-01 13:14,first_response,assigned,in_progress,agt_018
evt_0000024,tck_000006,2025-10-02 15:15,closed,in_progress,closed,agt_018
evt_0000025,tck_000007,2025-10-01 10:41,created,,open,
evt_0000026,tck_000007,2025-10-01 11:16,assigned,open,assigned,agt_009
evt_0000027,tck_000007,2025-10-02 11:04,first_response,assigned,in_progress,agt_009
evt_0000028,tck_000007,2025-10-05 05:54,closed,in_progress,closed,agt_009
evt_0000029,tck_000008,2025-10-01 08:48,created,,open,
evt_0000030,tck_000008,2025-10-01 09:27,assigned,open,assigned,agt_012
evt_0000031,tck_000008,2025-10-01 15:33,first_response,assigned,in_progress,agt_012
evt_0000032,tck_000008,2025-10-01 22:06,closed,in_progress,closed,agt_012
evt_0000033,tck_000009,2025-10-01 16:08,created,,open,
evt_0000034,tck_000009,2025-10-01 16:34,assigned,open,assigned,agt_013
