ticket_id,created_at,first_response_at,closed_at,status,priority,category,channel,agent_id,department_id,customer_segment_id,sla_target_hours,sla_breached,first_response_hours,resolution_hours,satisfaction_score
tck_000001,2025-10-01 07:27,2025-10-02 01:18,2025-10-03 21:57,closed,low,bug report,portal,agt_017,dep_01,seg_03,96,0,17.86,62.51,4.5
tck_000002,2025-10-01 11:09,2025-10-01 12:12,2025-10-01 15:13,closed,high,billing question,phone,agt_006,dep_02,seg_01,13,0,1.07,4.07,4.8
tck_000003,2025-10-01 14:55,2025-10-01 15:41,2025-10-01 19:11,closed,critical,billing question,chat,agt_007,dep_02,seg_02,7,0,0.78,4.28,4.8
tck_000004,2025-10-01 09:46,2025-10-02 05:43,2025-10-03 23:14,closed,low,bug report,portal,agt_004,dep_01,seg_05,129,0,19.97,61.47,5.0
tck_000005,2025-10-01 09:31,2025-10-01 21:34,2025-10-03 17:42,closed,low,integration issue,chat,agt_015,dep_05,seg_04,115,0,12.06,56.19,4.8
tck_000006,2025-10-01 08:31,2025-10-01 13:14,2025-10-02 15:15,closed,medium,onboarding help,chat,agt_018,dep_03,seg_03,48,0,4.72,30.75,5.0
tck_000007,2025-10-01 10:41,2025-10-02 11:04,2025-10-05 05:54,closed,low,feature request,portal,agt_009,dep_03,seg_03,96,0,24.39,91.22,4.5
tck_000008,2025-10-01 08:48,2025-10-01 15:33,2025-10-01 22:06,closed,high,abuse report,portal,agt_012,dep_04,seg_02,16,0,6.76,13.32,4.6
tck_000009,2025-10-01 16:08,2025-10-02 14:09,2025-10-06 21:56,closed,low,abuse report,email,agt_013,dep_04,seg_03,96,1,22.02,125.82,3.8
tck_000010,2025-10-01 14:14,2025-10-02 09:59,,open,medium,integration issue,email,agt_014,dep_05,seg_01,36,1,19.76,5817.75,
tck_000011,2025-10-01 19:36,2025-10-02 17:10,2025-10-02 19:59,closed,low,login access,email,agt_001,dep_01,seg_03,96,0,21.58,24.39,4.5
tck_000012,2025-10-01 18:15,2025-10-01 18:55,2025-10-02 00:16,resolved,critical,invoice dispute,chat,agt_005,dep_02,seg_01,6,1,0.68,6.02,3.7
tck_000013,2025-10-01 17:05,2025-10-01 19:13,2025-10-01 23:18,closed,high,billing question,email,agt_007,dep_02,seg_03,18,0,2.15,6.23,5.0
tck_000014,2025-10-01 13:12,2025-10-02 05:39,2025-10-03 09:29,closed,medium,bug report,portal,agt_004,dep_01,seg_03,48,0,16.46,44.29,4.5
tck_000015,2025-10-01 15:15,2025-10-01 15:27,2025-10-01 20:54,closed,critical,login access,email,agt_004,dep_01,seg_01,6,0,0.22,5.66,4.4
tck_000016,2025-10-01 15:19,2025-10-02 13:15,2025-10-04 23:41,closed,low,abuse report,email,agt_012,dep_04,seg_03,96,0,21.94,80.38,4.1
tck_000017,2025-10-01 08:53,2025-10-01 13:42,2025-10-02 04:21,resolved,high,bug report,phone,agt_002,dep_01,seg_04,21,0,4.83,19.48,5.0
tck_000018,2025-10-01 16:13,2025-10-03 17:31,2025-10-03 18:01,closed,low,login access,email,agt_004,dep_01,seg_03,96,0,49.31,49.81,5.0
tck_000019,2025-10-01 10:47,2025-10-02 13:22,2025-10-04 01:58,closed,low,integration issue,portal,agt_015,dep_05,seg_01,72,0,26.59,63.19,4.7
tck_000020,2025-10-01 17:55,2025-10-02 06:07,2025-10-03 12:45,closed,low,billing question,email,agt_007,dep_02,seg_01,72,0,12.22,42.84,4.8
tck_000021,2025-10-01 17:11,2025-10-01 23:35,2025-10-02 00:05,resolved,high,data export,email,agt_014,dep_05,seg_05,24,0,6.41,6.91,4.8
tck_000022,2025-10-01 11:17,2025-10-01 14:29,2025-10-03 03:01,resolved,high,integration issue,email,agt_015,dep_05,seg_04,21,1,3.21,39.74,2.7
tck_000023,2025-10-01 16:27,2025-10-01 17:24,2025-10-01 20:10,closed,critical,billing question,chat,agt_005,dep_02,seg_01,6,0,0.96,3.73,5.0
tck_000024,2025-10-01 20:58,2025-10-01 21:54,2025-10-03 02:25,closed,critical,invoice dispute,email,agt_005,dep_02,seg_03,8,1,0.94,29.46,2.3
tck_000025,2025-10-01 11:47,2025-10-02 20:06,,pending,medium,bug report,email,agt_004,dep_01,seg_03,48,1,32.33,5820.20,
tck_000026,2025-10-01 13:50,2025-10-02 03:57,2025-10-02 04:27,closed,medium,onboarding help,chat,agt_010,dep_03,seg_02,43,0,14.13,14.63,4.8
tck_000027,2025-10-01 18:36,2025-10-01 19:01,2025-10-02 00:21,closed,critical,login access,portal,agt_003,dep_01,seg_03,8,0,0.42,5.76,4.8
tck_000028,2025-10-02 08:08,2025-10-03 05:28,2025-10-03 12:00,closed,medium,onboarding help,chat,agt_018,dep_03,seg_03,48,0,21.35,27.87,4.4
tck_000029,2025-10-02 17:17,2025-10-04 01:53,2025-10-04 02:23,closed,low,billing question,chat,agt_007,dep_02,seg_04,115,0,32.61,33.11,4.6
tck_000030,2025-10-02 12:21,2025-10-03 09:28,2025-10-03 09:58,closed,low,login access,email,agt_001,dep_01,seg_02,86,0,21.12,21.62,5.0
tck_000031,2025-10-02 16:54,2025-10-02 22:18,2025-10-03 09:09,closed,high,feature request,email,agt_009,dep_03,seg_02,16,1,5.41,16.27,3.0
tck_000032,2025-10-02 14:42,2025-10-02 17:07,2025-10-02 21:45,closed,high,feature request,chat,agt_018,dep_03,seg_05,24,0,2.43,7.05,4.1
tck_000033,2025-10-02 16:03,2025-10-02 18:29,2025-10-03 13:40,closed,critical,bug report,phone,agt_003,dep_01,seg_03,8,1,2.44,21.62,2.9
tck_000034,2025-10-02 11:38,2025-10-03 14:37,2025-10-03 15:07,resolved,low,billing question,chat,agt_005,dep_02,seg_05,129,0,27.00,27.50,4.7
tck_000035,2025-10-02 15:19,2025-10-05 01:37,2025-10-05 22:17,closed,low,abuse report,phone,agt_011,dep_04,seg_03,96,0,58.32,78.97,4.2
tck_000036,2025-10-02 15:27,2025-10-03 06:00,2025-10-04 20:18,closed,low,feature request,portal,agt_018,dep_03,seg_05,129,0,14.56,52.85,4.5
tck_000037,2025-10-02 07:56,2025-10-03 01:33,2025-10-05 03:33,closed,medium,integration issue,phone,agt_016,dep_05,seg_02,43,1,17.63,67.62,3.3
tck_000038,2025-10-02 01:12,2025-10-02 13:17,2025-10-03 14:42,closed,medium,onboarding help,portal,agt_009,dep_03,seg_04,57,0,12.09,37.51,4.9
tck_000039,2025-10-02 14:22,2025-10-03 01:22,2025-10-03 09:43,closed,medium,bug report,portal,agt_002,dep_01,seg_02,43,0,11.00,19.35,4.9
tck_000040,2025-10-02 10:37,2025-10-02 13:05,2025-10-02 16:20,closed,critical,onboarding help,email,agt_010,dep_03,seg_03,8,0,2.47,5.72,4.7
tck_000041,2025-10-02 10:08,2025-10-03 10:07,2025-10-03 11:28,resolved,medium,bug report,email,agt_001,dep_01,seg_01,36,0,23.99,25.34,4.7
tck_000042,2025-10-02 08:36,2025-10-02 16:35,2025-10-03 06:01,closed,medium,feature request,portal,agt_008,dep_03,seg_01,36,0,7.99,21.42,5.0
